Code,Instrument,Family
0,Acoustic Grand Piano,Piano
1,Bright Acoustic Piano,Piano
2,Electric Grand Piano,Piano
3,Honky-tonk Piano,Piano
4,Electric Piano 1,Piano
5,Electric Piano 2,Piano
6,Harpsichord,Piano
7,Clavi,Piano
8,Celesta,Chromatic Percussion
9,Glockenspiel,Chromatic Percussion
10,Music Box,Chromatic Percussion
11,Vibraphone,Chromatic Percussion
12,Marimba,Chromatic Percussion
13,Xylophone,Chromatic Percussion
14,Tubular Bells,Chromatic Percussion
15,Dulcimer,Chromatic Percussion
16,Drawbar Organ,Organ
17,Percussive Organ,Organ
18,Rock Organ,Organ
19,Church Organ,Organ
20,Reed Organ,Organ
21,Accordion,Organ
22,Harmonica,Organ
23,Tango Accordion,Organ
24,Acoustic Guitar (nylon),Guitar
25,Acoustic Guitar (steel),Guitar
26,Electric Guitar (jazz),Guitar
27,Electric Guitar (clean),Guitar
28,Electric Guitar (muted),Guitar
29,Overdriven Guitar,Guitar
30,Distortion Guitar,Guitar
31,Guitar harmonics,Guitar
32,Acoustic Bass,Bass
33,Electric Bass (finger),Bass
34,Electric Bass (pick),Bass
35,Fretless Bass,Bass
36,Slap Bass 1,Bass
37,Slap Bass 2,Bass
38,Synth Bass 1,Bass
39,Synth Bass 2,Bass
40,Violin,Strings
41,Viola,Strings
42,Cello,Strings
43,Contrabass,Strings
44,Tremolo Strings,Strings
45,Pizzicato Strings,Strings
46,Orchestral Harp,Strings
47,Timpani,Strings
48,String Ensemble 1,Ensemble
49,String Ensemble 2,Ensemble
50,SynthStrings 1,Ensemble
51,SynthStrings 2,Ensemble
52,Choir Aahs,Ensemble
53,Voice Oohs,Ensemble
54,Synth Voice,Ensemble
55,Orchestra Hit,Ensemble
56,Trumpet,Brass
57,Trombone,Brass
58,Tuba,Brass
59,Muted Trumpet,Brass
60,French Horn,Brass
61,Brass Section,Brass
62,SynthBrass 1,Brass
63,SynthBrass 2,Brass
64,Soprano Sax,Reed
65,Alto Sax,Reed
66,Tenor Sax,Reed
67,Baritone Sax,Reed
68,Oboe,Reed
69,English Horn,Reed
70,Bassoon,Reed
71,Clarinet,Reed
72,Piccolo,Pipe
73,Flute,Pipe
74,Recorder,Pipe
75,Pan Flute,Pipe
76,Blown Bottle,Pipe
77,Shakuhachi,Pipe
78,Whistle,Pipe
79,Ocarina,Pipe
80,Lead 1 (square),Synth Lead
81,Lead 2 (sawtooth),Synth Lead
82,Lead 3 (calliope),Synth Lead
83,Lead 4 (chiff),Synth Lead
84,Lead 5 (charang),Synth Lead
85,Lead 6 (voice),Synth Lead
86,Lead 7 (fifths),Synth Lead
87,Lead 8 (bass + lead),Synth Lead
88,Pad 1 (new age),Synth Pad
89,Pad 2 (warm),Synth Pad
90,Pad 3 (polysynth),Synth Pad
91,Pad 4 (choir),Synth Pad
92,Pad 5 (bowed),Synth Pad
93,Pad 6 (metallic),Synth Pad
94,Pad 7 (halo),Synth Pad
95,Pad 8 (sweep),Synth Pad
96,FX 1 (rain),Synth Effects
97,FX 2 (soundtrack),Synth Effects
98,FX 3 (crystal),Synth Effects
99,FX 4 (atmosphere),Synth Effects
100,FX 5 (brightness),Synth Effects
101,FX 6 (goblins),Synth Effects
102,FX 7 (echoes),Synth Effects
103,FX 8 (sci-fi),Synth Effects
104,Sitar,Ethnic
105,Banjo,Ethnic
106,Shamisen,Ethnic
107,Koto,Ethnic
108,Kalimba,Ethnic
109,Bag pipe,Ethnic
110,Fiddle,Ethnic
111,Shanai,Ethnic
112,Tinkle Bell,Percussive
113,Agogo,Percussive
114,Steel Drums,Percussive
115,Woodblock,Percussive
116,Taiko Drum,Percussive
117,Melodic Tom,Percussive
118,Synth Drum,Percussive
119,Reverse Cymbal,Percussive
120,Guitar Fret Noise,Sound Effects
121,Breath Noise,Sound Effects
122,Seashore,Sound Effects
123,Bird Tweet,Sound Effects
124,Telephone Ring,Sound Effects
125,Helicopter,Sound Effects
126,Applause,Sound Effects
127,Gunshot,Sound Effects
